epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,74.1376,1.50459,3.71035,1.67033,0.59796,0.48278,0.52814,0.30771,1.32968,2.44193,1.31306,0.000221433,0.000221433,0.000221433
2,147.059,1.41138,2.19221,1.55618,0.71348,0.59189,0.69121,0.39244,1.51651,1.62887,1.44349,0.000439373,0.000439373,0.000439373
3,218.265,1.44213,1.9221,1.56176,0.72528,0.58423,0.61736,0.38548,1.28948,1.62426,1.39175,0.000652911,0.000652911,0.000652911
4,288.938,1.43948,1.76563,1.56548,0.72064,0.66076,0.65441,0.3845,1.43438,1.64247,1.43902,0.00064719,0.00064719,0.00064719
5,359.593,1.42343,1.75093,1.53077,0.69943,0.72815,0.7569,0.44938,1.33479,1.24786,1.40606,0.000640587,0.000640587,0.000640587
6,431.237,1.38215,1.57938,1.52781,0.66051,0.82,0.81498,0.5448,1.23449,1.16347,1.3191,0.000633983,0.000633983,0.000633983
7,503.589,1.39337,1.5257,1.54016,0.84763,0.70629,0.82558,0.51636,1.31506,1.14532,1.35041,0.00062738,0.00062738,0.00062738
8,574.951,1.38071,1.47439,1.51176,0.86922,0.75797,0.85095,0.56043,1.1983,0.98611,1.29351,0.000620777,0.000620777,0.000620777
9,646.477,1.40544,1.45586,1.5385,0.79957,0.78129,0.8528,0.55347,1.21609,0.98195,1.32654,0.000614174,0.000614174,0.000614174
10,718.008,1.33346,1.36076,1.48416,0.9001,0.84341,0.89764,0.61701,1.1884,0.9745,1.27454,0.00060757,0.00060757,0.00060757
11,789.476,1.33133,1.3078,1.48715,0.83765,0.86062,0.91508,0.60715,1.23074,0.89973,1.3063,0.000600967,0.000600967,0.000600967
12,861.236,1.30333,1.27944,1.47335,0.82467,0.85678,0.88217,0.55023,1.26226,0.91657,1.33401,0.000594364,0.000594364,0.000594364
13,932.531,1.28761,1.23784,1.46759,0.87836,0.85407,0.91522,0.59263,1.20446,0.84382,1.26605,0.00058776,0.00058776,0.00058776
14,1003.98,1.30152,1.24359,1.46441,0.88277,0.86834,0.937,0.59272,1.26845,0.83933,1.30178,0.000581157,0.000581157,0.000581157
15,1074.58,1.27565,1.21344,1.4585,0.92188,0.8621,0.92083,0.62571,1.18705,0.83254,1.2978,0.000574554,0.000574554,0.000574554
16,1145.11,1.25336,1.17844,1.43381,0.8964,0.86481,0.92597,0.62007,1.14205,0.81658,1.27326,0.00056795,0.00056795,0.00056795
17,1215.59,1.23591,1.1603,1.42847,0.88853,0.88072,0.9347,0.63488,1.18225,0.79794,1.2685,0.000561347,0.000561347,0.000561347
18,1286.87,1.20596,1.12223,1.404,0.904,0.86027,0.92679,0.60965,1.19756,0.79606,1.28251,0.000554744,0.000554744,0.000554744
19,1359.75,1.25247,1.15272,1.44492,0.9227,0.87147,0.94017,0.64743,1.15676,0.75636,1.2703,0.000548141,0.000548141,0.000548141
20,1431.47,1.22945,1.07229,1.4133,0.92976,0.87025,0.92049,0.65391,1.11835,0.74144,1.21399,0.000541537,0.000541537,0.000541537
21,1502.72,1.22382,1.09335,1.4242,0.93319,0.86991,0.93121,0.63414,1.17586,0.73573,1.25412,0.000534934,0.000534934,0.000534934
22,1573.94,1.19166,1.07526,1.39532,0.85868,0.91286,0.93501,0.64481,1.11067,0.71443,1.22917,0.000528331,0.000528331,0.000528331
23,1645.73,1.18501,1.07626,1.40724,0.91558,0.88259,0.92389,0.63505,1.11737,0.74328,1.25651,0.000521727,0.000521727,0.000521727
24,1718.39,1.1999,1.03433,1.39514,0.91806,0.89842,0.94421,0.65976,1.08889,0.71877,1.19331,0.000515124,0.000515124,0.000515124
25,1791.7,1.19163,1.0945,1.40692,0.91046,0.90431,0.94026,0.65678,1.06052,0.69862,1.19933,0.000508521,0.000508521,0.000508521
26,1864.76,1.17345,1.01774,1.38209,0.93536,0.91092,0.95153,0.66168,1.08455,0.69138,1.22762,0.000501917,0.000501917,0.000501917
27,1937.7,1.17623,1.01334,1.39001,0.92701,0.89378,0.93947,0.63836,1.12636,0.67581,1.24957,0.000495314,0.000495314,0.000495314
28,2009.34,1.1653,1.01851,1.3682,0.93801,0.8987,0.95165,0.69267,1.03835,0.64229,1.16992,0.000488711,0.000488711,0.000488711
29,2079.74,1.14602,0.97934,1.36003,0.92157,0.85841,0.92897,0.65624,1.07016,0.64639,1.22157,0.000482108,0.000482108,0.000482108
30,2150.11,1.15057,1.00141,1.38427,0.90534,0.90487,0.94849,0.66794,1.07106,0.65018,1.19617,0.000475504,0.000475504,0.000475504
31,2220.67,1.13729,0.93521,1.35762,0.921,0.90401,0.9598,0.66464,1.07777,0.61347,1.2028,0.000468901,0.000468901,0.000468901
32,2292.49,1.12894,0.92702,1.34909,0.92279,0.93264,0.95464,0.70068,0.99057,0.58978,1.15435,0.000462298,0.000462298,0.000462298
33,2364.39,1.12184,0.93406,1.35225,0.93146,0.91286,0.95293,0.72009,0.95315,0.58087,1.13001,0.000455694,0.000455694,0.000455694
34,2436.41,1.1174,0.94408,1.34884,0.96511,0.89528,0.95328,0.71525,0.97841,0.59981,1.16932,0.000449091,0.000449091,0.000449091
35,2511.68,1.11974,0.90365,1.34481,0.95791,0.89136,0.94386,0.67948,1.03261,0.61936,1.18536,0.000442488,0.000442488,0.000442488
36,2585.63,1.11705,0.92228,1.34661,0.94475,0.91153,0.94892,0.68309,1.02766,0.60932,1.20919,0.000435884,0.000435884,0.000435884
37,2657.43,1.10436,0.90635,1.32815,0.94365,0.90397,0.95798,0.73537,0.91699,0.55983,1.12723,0.000429281,0.000429281,0.000429281
38,2728.49,1.09084,0.87359,1.31812,0.96942,0.92314,0.95721,0.67194,1.08559,0.61288,1.21685,0.000422678,0.000422678,0.000422678
39,2799.51,1.08008,0.86854,1.31519,0.92273,0.91774,0.95333,0.71902,0.93526,0.60841,1.14756,0.000416075,0.000416075,0.000416075
40,2870.66,1.10359,0.88758,1.34162,0.93204,0.89934,0.94832,0.66969,1.08163,0.61646,1.21068,0.000409471,0.000409471,0.000409471
41,2941.77,1.08535,0.85623,1.3041,0.94783,0.90097,0.9549,0.71758,0.95031,0.57779,1.1304,0.000402868,0.000402868,0.000402868
42,3012.88,1.05297,0.83972,1.31221,0.95121,0.89055,0.94974,0.69655,1.04882,0.6008,1.17476,0.000396265,0.000396265,0.000396265
43,3085.6,1.05805,0.83779,1.30893,0.92563,0.88141,0.94582,0.71397,0.9214,0.59125,1.12983,0.000389661,0.000389661,0.000389661
44,3157.35,1.07101,0.83926,1.31545,0.9207,0.9005,0.94739,0.71191,0.94768,0.559,1.13121,0.000383058,0.000383058,0.000383058
45,3228.48,1.0384,0.80247,1.28374,0.94419,0.90237,0.95758,0.67607,1.08215,0.59821,1.20358,0.000376455,0.000376455,0.000376455
46,3299.62,1.05195,0.83134,1.30175,0.92456,0.90255,0.9563,0.71978,0.95046,0.56301,1.12763,0.000369851,0.000369851,0.000369851
47,3370.62,1.02853,0.79642,1.29196,0.94892,0.90009,0.96083,0.74535,0.89034,0.54969,1.1022,0.000363248,0.000363248,0.000363248
48,3442.02,1.04355,0.77588,1.29435,0.93523,0.91316,0.95841,0.72081,0.97379,0.5466,1.15613,0.000356645,0.000356645,0.000356645
49,3513.14,1.00716,0.76901,1.27099,0.94646,0.91287,0.95683,0.72559,0.97647,0.56151,1.14376,0.000350042,0.000350042,0.000350042
50,3584.18,1.04381,0.80529,1.30079,0.94316,0.92119,0.96352,0.74346,0.88789,0.53626,1.10944,0.000343438,0.000343438,0.000343438
51,3655.51,1.0218,0.81584,1.28033,0.93584,0.91983,0.95574,0.73896,0.92376,0.53834,1.12469,0.000336835,0.000336835,0.000336835
52,3726.08,0.99032,0.75011,1.26028,0.95101,0.9148,0.95956,0.73807,0.90979,0.53317,1.10326,0.000330232,0.000330232,0.000330232
53,3796.54,1.01012,0.79873,1.27115,0.9408,0.92235,0.9553,0.73698,0.9212,0.52402,1.11803,0.000323628,0.000323628,0.000323628
54,3866.94,0.9974,0.76244,1.25619,0.93721,0.9134,0.96477,0.7553,0.84962,0.52213,1.07039,0.000317025,0.000317025,0.000317025
55,3938.77,1.00492,0.79084,1.27294,0.96071,0.92122,0.9726,0.75272,0.87659,0.49764,1.07936,0.000310422,0.000310422,0.000310422
56,4010.22,0.97791,0.76226,1.24654,0.96212,0.91177,0.96508,0.74956,0.86546,0.49929,1.07509,0.000303818,0.000303818,0.000303818
57,4081.6,0.98973,0.74941,1.2589,0.95589,0.92228,0.96253,0.75803,0.87524,0.49885,1.06911,0.000297215,0.000297215,0.000297215
58,4153.34,0.98352,0.7621,1.26172,0.95293,0.9212,0.97136,0.74934,0.86735,0.50784,1.06685,0.000290612,0.000290612,0.000290612
59,4224.71,0.97611,0.73354,1.2601,0.96023,0.91077,0.95348,0.75281,0.82957,0.46522,1.06763,0.000284009,0.000284009,0.000284009
60,4296.19,0.98556,0.75164,1.27202,0.95121,0.93817,0.96232,0.74673,0.88199,0.48937,1.08312,0.000277405,0.000277405,0.000277405
61,4367.86,0.98042,0.74015,1.2648,0.95212,0.92885,0.96084,0.753,0.88552,0.4956,1.09402,0.000270802,0.000270802,0.000270802
62,4439.42,0.97732,0.73351,1.24206,0.95188,0.93399,0.96074,0.75049,0.88883,0.48857,1.10373,0.000264199,0.000264199,0.000264199
63,4510.29,0.97839,0.72847,1.25192,0.95663,0.93777,0.96442,0.76455,0.8717,0.47665,1.08571,0.000257595,0.000257595,0.000257595
64,4580.69,0.97527,0.74159,1.25591,0.94468,0.9235,0.96476,0.77114,0.82244,0.48315,1.05863,0.000250992,0.000250992,0.000250992
65,4650.94,0.97099,0.73118,1.25313,0.95441,0.91887,0.96048,0.75827,0.86388,0.50478,1.07607,0.000244389,0.000244389,0.000244389
66,4721.31,0.93245,0.66237,1.22094,0.94572,0.9191,0.95337,0.75992,0.8512,0.50763,1.06791,0.000237785,0.000237785,0.000237785
67,4792.73,0.94565,0.69197,1.23544,0.9382,0.92422,0.95232,0.75803,0.83641,0.49609,1.06849,0.000231182,0.000231182,0.000231182
68,4864.6,0.93118,0.69779,1.22942,0.95083,0.92146,0.96238,0.74772,0.89445,0.5044,1.08564,0.000224579,0.000224579,0.000224579
69,4936.14,0.94269,0.69059,1.24508,0.9648,0.92596,0.96041,0.7539,0.8614,0.48431,1.0816,0.000217976,0.000217976,0.000217976
70,5007.56,0.94624,0.70796,1.23323,0.94756,0.93022,0.96035,0.76509,0.83885,0.48363,1.06004,0.000211372,0.000211372,0.000211372
71,5079.25,0.91529,0.66873,1.21254,0.93591,0.93231,0.96139,0.76034,0.839,0.46915,1.05605,0.000204769,0.000204769,0.000204769
72,5150.84,0.91027,0.65881,1.22801,0.95843,0.91466,0.96206,0.73694,0.90757,0.48589,1.09928,0.000198166,0.000198166,0.000198166
73,5222.31,0.90905,0.67103,1.20699,0.94063,0.93526,0.96674,0.75208,0.89592,0.47454,1.0989,0.000191562,0.000191562,0.000191562
74,5293.95,0.90489,0.67375,1.20981,0.95265,0.92807,0.96197,0.75355,0.86009,0.47178,1.08621,0.000184959,0.000184959,0.000184959
75,5365.55,0.90754,0.66308,1.21268,0.94886,0.93958,0.96641,0.76339,0.83697,0.4667,1.06299,0.000178356,0.000178356,0.000178356
76,5437.16,0.9096,0.65982,1.20864,0.95965,0.92872,0.95759,0.76785,0.84794,0.45548,1.06397,0.000171752,0.000171752,0.000171752
77,5508.9,0.90808,0.65188,1.20815,0.96638,0.91769,0.96363,0.75912,0.85142,0.46356,1.07272,0.000165149,0.000165149,0.000165149
78,5580.35,0.88593,0.65615,1.19941,0.95377,0.92575,0.97081,0.76523,0.83006,0.45113,1.06298,0.000158546,0.000158546,0.000158546
79,5651.82,0.89002,0.65736,1.2028,0.96722,0.93628,0.96611,0.77258,0.80974,0.44727,1.05231,0.000151943,0.000151943,0.000151943
80,5723.27,0.91113,0.67329,1.2084,0.96972,0.92402,0.96766,0.77616,0.81157,0.44762,1.04888,0.000145339,0.000145339,0.000145339
81,5793.9,0.8819,0.64072,1.18866,0.96013,0.93896,0.9687,0.77474,0.84824,0.44965,1.06354,0.000138736,0.000138736,0.000138736
82,5864.22,0.88324,0.64162,1.1882,0.96324,0.94513,0.96951,0.79379,0.78077,0.42964,1.02889,0.000132133,0.000132133,0.000132133
